ジャンル名,売上指数（千円）,シェア,商品ランク入り数
筆記具,469782,25.26%,145077
手帳・ノート・紙製品,396094,21.30%,137453
画材,114783,6.17%,31473
ギフトラッピング用品,112462,6.05%,59903
ファイル・バインダー,102831,5.53%,32597
写真整理用品,95214,5.12%,13265
その他,86788,4.67%,21135
机上収納・整理用品,84154,4.52%,17268
ラベル・ステッカー,75656,4.07%,35409
プレゼンテーション用品,74967,4.03%,9490
セロハンテープ・のり・接着剤,41770,2.25%,16793
はさみ・裁断用品,39775,2.14%,10737
書道用具,38840,2.09%,11204
ブックカバー,31231,1.68%,6497
製図用品,16912,0.91%,7194
クリップ・結束用具,15456,0.83%,8540
名札,11446,0.62%,4319
ホッチキス・穴あきパンチ,10331,0.56%,3948
マグネットシート,9329,0.50%,1472
マグネット,8168,0.44%,3996
紙幣計数機・コインカウンタ,6747,0.36%,356
画鋲・ピン,3490,0.19%,1322
製本機,2953,0.16%,713
ブックマーク・しおり,2852,0.15%,1642
チェックライター・ナンバーリング,2336,0.13%,307
下敷き,2120,0.11%,1691
紙めくり・事務用スポンジ,1815,0.10%,1289
タスキ・腕章,886,0.05%,231
レタースケール,600,0.03%,116
