ジャンル名,売上指数（千円）,シェア,商品ランク入り数
非常食,350985,24.69%,20421
防災セット・非常用持ちだし袋,282142,19.85%,5321
簡易トイレ,218699,15.39%,6855
火災警報器・ガス警報器,112915,7.94%,5584
その他,83759,5.89%,5830
家具転倒防止用品,49238,3.46%,6165
消火器,48952,3.44%,2591
保存水,47040,3.31%,1909
懐中電灯,36529,2.57%,4889
防災ラジオ,33692,2.37%,1455
携帯用浄水器,28944,2.04%,839
携帯トイレ,24179,1.70%,2055
メガホン・拡声器,15092,1.06%,749
簡易毛布・寝袋,14983,1.05%,1802
防災ヘルメット,13893,0.98%,884
給水用品,10845,0.76%,1344
避難はしご,9316,0.66%,457
応急手当用品,6968,0.49%,828
土嚢,5812,0.41%,350
固形燃料,5638,0.40%,735
発熱・加熱剤,4891,0.34%,840
笛・ホイッスル,4590,0.32%,973
防災頭巾,4516,0.32%,614
ガソリン缶,3225,0.23%,475
担架,3218,0.23%,92
防災用ストーブ,1046,0.07%,14
放射能測定器・ガイガーカウンター,285,0.02%,21
