ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,205270,32.07%,14642
マカ,57384,8.96%,4758
キノコ・マッシュルーム,45711,7.14%,2265
サラシア,41140,6.43%,1809
ウコン,39746,6.21%,4874
ブルーベリー,33735,5.27%,3709
スピルリナ,28863,4.51%,1259
ノコギリヤシ,25709,4.02%,1792
高麗人参,23769,3.71%,1168
イチョウ葉,19611,3.06%,2077
クロレラ,17332,2.71%,1160
田七人参,15615,2.44%,812
梅肉,12781,2.00%,1384
フォルスコリ,12012,1.88%,788
フコイダン,10851,1.70%,296
ニンニク,7434,1.16%,785
トンカットアリ,7098,1.11%,701
チアシード,6860,1.07%,635
プエラリア,4668,0.73%,511
アサイー,4501,0.70%,491
黒豆,3214,0.50%,155
セントジョーンズワート,3093,0.48%,696
マキベリー,2416,0.38%,220
ゴジベリー,2254,0.35%,188
ビーポーレン,1997,0.31%,217
カプサイシン,1939,0.30%,316
エキナセア,1780,0.28%,413
じゃばら,1347,0.21%,264
ガラナ,1261,0.20%,81
カムカム,278,0.04%,42
メシマコブ茸,191,0.03%,8
カカオ,189,0.03%,45
バジルシード,50,0.01%,17
