ジャンル名,売上指数（千円）,シェア,商品ランク入り数
生地・布,325430,24.39%,27000
道具・キット,246899,18.50%,79937
裁縫材料,200225,15.01%,133353
アクセサリークラフト材料,143259,10.74%,78105
毛糸,87564,6.56%,17131
レジン液,86327,6.47%,4840
その他,64311,4.82%,20360
レザークラフト材料,42591,3.19%,17416
ビーズ・ストーン,40773,3.06%,26559
着色剤,26252,1.97%,3203
陶芸,22659,1.70%,4399
はぎれ・カットクロス,16511,1.24%,5692
刺繍材料,11423,0.86%,6722
手芸材料セット,8456,0.63%,2034
フェルト,4696,0.35%,2452
編機・織機,3778,0.28%,537
パッチワーク・キルティング材料,1750,0.13%,742
タイル,1325,0.10%,414
裁縫道具(1703削除),3,0.00%,0
クラフト(1703削除),0,0.00%,0
