ジャンル名,売上指数（千円）,シェア,商品ランク入り数
簡易マッサージグッズ,140632,27.90%,11525
ストレッチグッズ,120913,23.99%,5127
フットケア用品,62770,12.45%,6177
アイケア用品,46856,9.30%,3972
腰ケア用品,43997,8.73%,1545
その他,37422,7.42%,3035
温浴器,21219,4.21%,592
岩盤浴,12507,2.48%,657
フットバス,9908,1.97%,840
木酢液グッズ,2638,0.52%,322
耳ツボ関連,1331,0.26%,372
エステユニフォーム,1212,0.24%,191
竹酢液グッズ,1078,0.21%,138
気泡浴器,773,0.15%,74
炭グッズ,747,0.15%,95
光触媒グッズ,3,0.00%,2
