ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,14790,24.59%,1726
クエ,9332,15.51%,324
ナマコ,5617,9.34%,266
アンコウ,4340,7.22%,352
カンパチ,3244,5.39%,216
アユ,2324,3.86%,596
サワラ,2171,3.61%,138
カレイ,2144,3.56%,561
ノドグロ,2032,3.38%,339
エイ,1888,3.14%,381
ハタハタ,1845,3.07%,273
ニシン,1803,3.00%,604
サメ,1554,2.58%,224
カワハギ,1438,2.39%,424
トビウオ,997,1.66%,232
ヒラメ,871,1.45%,208
ハモ,613,1.02%,113
クラゲ,577,0.96%,197
イワナ,503,0.84%,48
アカメ・メヒカリ,455,0.76%,95
コイ,305,0.51%,100
マス,291,0.48%,68
カジキ,286,0.48%,69
キス,238,0.40%,104
タチウオ,151,0.25%,61
スズキ,87,0.14%,12
カサゴ,56,0.09%,19
カマス,56,0.09%,42
メバル,31,0.05%,15
オコゼ,26,0.04%,8
イサキ,24,0.04%,12
サヨリ,21,0.04%,10
コチ,20,0.03%,8
アラ,17,0.03%,11
アイナメ,6,0.01%,3
