ジャンル名,売上指数（千円）,シェア,商品ランク入り数
プロテイン,2004034,25.74%,42516
その他,1682751,21.62%,0
植物性エキス,676655,8.69%,18460
アミノ酸,605234,7.77%,22904
ビタミン,570175,7.32%,32804
ファイトケミカル,537789,6.91%,7785
酵素,257527,3.31%,5429
ミネラル,228088,2.93%,20497
プロバイオティクス,225500,2.90%,9381
脂肪酸・オイル,210979,2.71%,10560
コラーゲン,189066,2.43%,11330
プラセンタ,119262,1.53%,4332
食物繊維,92329,1.19%,6722
ビタミン・ミネラル混合,73726,0.95%,1833
動物性エキス,62811,0.81%,3313
グルコサミン・コンドロイチン,61150,0.79%,566
クエン酸,39716,0.51%,3657
ラクトフェリン,28123,0.36%,879
プロポリス,23214,0.30%,2171
動植物性混合エキス,22187,0.28%,1509
ヒアルロン酸,20085,0.26%,1481
ミドリムシ,18098,0.23%,1038
オリゴ糖,17921,0.23%,2049
ローヤルゼリー,13849,0.18%,1117
核酸,4648,0.06%,361
ダイエット(1903削除),0,0.00%,3713
健康維持(1903削除),0,0.00%,82385
