ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,17929,41.34%,1729
クリームパン,14044,32.39%,1232
チョコレートパン,7998,18.44%,376
あんパン,2122,4.89%,592
メロンパン,1048,2.42%,349
ジャムパン,225,0.52%,140
