ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,158474,29.58%,12680
ウコン,40096,7.48%,4114
マカ,38501,7.19%,3847
キノコ・マッシュルーム,35072,6.55%,1735
サラシア,31335,5.85%,1569
フコイダン,29390,5.49%,618
ブルーベリー,27296,5.10%,2962
スピルリナ,21308,3.98%,1008
高麗人参,21279,3.97%,1153
イチョウ葉,18296,3.42%,1852
ノコギリヤシ,16526,3.08%,1543
クロレラ,15993,2.99%,958
田七人参,12368,2.31%,850
梅肉,11969,2.23%,1156
トンカットアリ,11579,2.16%,718
ニンニク,7285,1.36%,772
アサイー,6913,1.29%,519
チアシード,5964,1.11%,631
じゃばら,5525,1.03%,592
フォルスコリ,4418,0.82%,479
プエラリア,3134,0.58%,361
セントジョーンズワート,2251,0.42%,496
マキベリー,2233,0.42%,301
カプサイシン,1755,0.33%,263
ビーポーレン,1465,0.27%,174
エキナセア,1402,0.26%,306
ゴジベリー,1271,0.24%,133
黒豆,896,0.17%,77
ガラナ,814,0.15%,78
メシマコブ茸,387,0.07%,26
カカオ,267,0.05%,59
カムカム,216,0.04%,31
バジルシード,57,0.01%,15
