ジャンル名,売上指数（千円）,シェア,商品ランク入り数
だし,271185,17.67%,25987
油,240807,15.69%,26396
砂糖・甘味料,106718,6.95%,14893
しお,98081,6.39%,17742
ソース・たれ,86489,5.63%,23587
酢,85380,5.56%,10848
しょうゆ,85091,5.54%,20528
スパイス,84724,5.52%,25978
ふりかけ,57028,3.72%,13879
セット・詰め合わせ,55526,3.62%,3797
みそ,49713,3.24%,15456
その他,43246,2.82%,8867
ドレッシング,39575,2.58%,10717
料理の素,35971,2.34%,9943
めんつゆ,27464,1.79%,6685
麹,24758,1.61%,3632
中華調味料,20852,1.36%,6302
ミックススパイス・混合調味料,20272,1.32%,6283
みりん,18478,1.20%,2841
ポン酢,15269,0.99%,4540
マヨネーズ,10268,0.67%,2622
アジアン・エスニック調味料,9572,0.62%,2493
韓国調味料,6560,0.43%,2919
ケチャップ,6325,0.41%,2071
料理酒,5738,0.37%,1172
酒粕,5709,0.37%,1193
ハーブ,5408,0.35%,3030
わさび,4969,0.32%,1683
ラーメンスープ,4493,0.29%,1595
ラード,3634,0.24%,210
からし・マスタード,3462,0.23%,1618
生わさび,2221,0.14%,399
