ジャンル名,売上指数（千円）,シェア,商品ランク入り数
クッキー・ビスケット,12970,30.83%,2125
ゼリー,11737,27.90%,2119
ケーキ,9127,21.69%,94
チップス・せんべい,2254,5.36%,483
その他,1901,4.52%,425
チョコレートバー,1340,3.19%,256
キャンディ,1008,2.40%,351
プリン,833,1.98%,159
グミ,260,0.62%,83
和菓子,208,0.49%,58
フレーク,173,0.41%,15
クラッカー,141,0.34%,19
ウエハース,111,0.26%,71
ガム,4,0.01%,2
ラスク,4,0.01%,1
