ジャンル名,売上指数（千円）,シェア,商品ランク入り数
仏壇,127185,31.41%,2403
盆提灯,108845,26.88%,5549
その他,41406,10.22%,5685
位牌,21564,5.33%,1407
具足・仏具セット,21241,5.25%,1725
りん,16570,4.09%,1840
骨壷,10146,2.51%,1175
仏像,10019,2.47%,578
仏花,8905,2.20%,1165
経机,7225,1.78%,588
掛軸,6322,1.56%,837
花立,5971,1.47%,1034
香炉,4620,1.14%,857
線香立,3554,0.88%,1222
具足,3059,0.76%,480
仏具用お手入れ用品,1460,0.36%,508
香炉灰・香炉石,1328,0.33%,616
香道具,1268,0.31%,300
経本,991,0.24%,411
木魚,962,0.24%,142
骨袋,818,0.20%,301
線香着火器,770,0.19%,238
香立て,456,0.11%,180
水晶玉,271,0.07%,158
