ジャンル名,売上指数（千円）,シェア,商品ランク入り数
はちみつ,159260,52.01%,11869
マヌカハニー,141924,46.35%,4423
巣蜜・コムハニー,4432,1.45%,291
ナッツのはちみつ漬け,590,0.19%,199
