ジャンル名,売上指数（千円）,シェア,商品ランク入り数
リボン,21544,10.76%,17782
ワッペン・アップリケ,21415,10.70%,18247
手芸用テープ,17963,8.97%,12179
ひも,17896,8.94%,9198
その他,15586,7.78%,7482
ファスナー,14205,7.09%,9215
ボタン,12492,6.24%,11094
ミシン糸,12338,6.16%,6807
レース,11406,5.70%,11553
接着テープ・接着芯,9085,4.54%,3804
持ち手・ハンドル,6104,3.05%,2273
ゴム,5367,2.68%,3577
口金,4810,2.40%,2583
芯地,4585,2.29%,1312
面ファスナー,4362,2.18%,1361
ホック,4240,2.12%,2213
型紙・パターン,3531,1.76%,2434
手縫い糸,3264,1.63%,2676
バックル,2705,1.35%,2067
ブレード,2292,1.14%,1969
チェーン,1318,0.66%,906
ネームシール,1163,0.58%,613
裏地,1091,0.55%,527
スパンコール,931,0.47%,1197
マラボー,328,0.16%,124
肩パット,205,0.10%,160
