ジャンル名,売上指数（千円）,シェア,商品ランク入り数
お茶・紅茶,1853508,27.93%,166976
コーヒー,1508031,22.72%,101524
水・炭酸水,1161655,17.50%,31000
炭酸飲料,737352,11.11%,29508
野菜・果実飲料,648278,9.77%,31000
スポーツドリンク,155143,2.34%,11241
植物性ミルク,127106,1.92%,14395
乳酸菌飲料,91822,1.38%,9195
お酢飲料,82807,1.25%,8716
甘酒,55897,0.84%,6665
希釈用ドリンク,55488,0.84%,5137
その他,53542,0.81%,5377
ゼリー飲料,29973,0.45%,4308
スムージー,25083,0.38%,1586
ココア・チョコレートドリンク,20156,0.30%,3693
牛乳,17964,0.27%,2486
生姜湯,5128,0.08%,855
フルーツ入り乳飲料,4900,0.07%,590
柚子茶,3469,0.05%,321
