ジャンル名,売上指数（千円）,シェア,商品ランク入り数
筆記具,640346,30.93%,162987
手帳・ノート・紙製品,371244,17.93%,150544
その他,142050,6.86%,27133
ギフトラッピング用品,110575,5.34%,66591
画材,103269,4.99%,31518
写真整理用品,99613,4.81%,16437
ファイル・バインダー,98965,4.78%,35062
机上収納・整理用品,91230,4.41%,18583
ラベル・ステッカー,73738,3.56%,36463
プレゼンテーション用品,71450,3.45%,9052
書道用具,57779,2.79%,13734
はさみ・裁断用品,46139,2.23%,12177
セロハンテープ・のり・接着剤,39810,1.92%,17362
ブックカバー,30004,1.45%,7353
クリップ・結束用具,14599,0.71%,8922
製図用品,13653,0.66%,7164
ホッチキス・穴あきパンチ,10726,0.52%,4580
名札,10573,0.51%,3905
マグネットシート,8137,0.39%,1452
マグネット,7125,0.34%,4248
紙幣計数機・コインカウンタ,6405,0.31%,329
画鋲・ピン,4943,0.24%,1687
製本機,4669,0.23%,1211
チェックライター・ナンバーリング,3580,0.17%,320
ブックマーク・しおり,3161,0.15%,1756
下敷き,2505,0.12%,2067
紙めくり・事務用スポンジ,2165,0.10%,1672
タスキ・腕章,822,0.04%,229
レタースケール,740,0.04%,178
