ジャンル名,売上指数（千円）,シェア,商品ランク入り数
シール・ステッカー,54934,71.35%,27451
ラベル用紙,16423,21.33%,4369
その他,3664,4.76%,801
インデックスシール,852,1.11%,414
番号札・荷札,786,1.02%,261
カラーラベル,329,0.43%,236
