ジャンル名,売上指数（千円）,シェア,商品ランク入り数
オリーブオイル,100532,32.22%,8548
こめ油,51555,16.52%,3656
セット・詰め合わせ,28966,9.28%,2544
ココナッツオイル,25774,8.26%,2271
ごま油,24727,7.93%,3251
亜麻仁油,20655,6.62%,1422
その他,16896,5.42%,2621
なたね油・キャノーラ油,13463,4.31%,1586
えごま油,9672,3.10%,1120
サラダ油,7314,2.34%,610
グレープシードオイル,4636,1.49%,247
大豆油,3332,1.07%,189
トリュフオイル,987,0.32%,164
椿油,950,0.30%,109
ひまわり油,932,0.30%,151
べに花油,583,0.19%,78
アボカドオイル,509,0.16%,66
玄米油,392,0.13%,81
ピーナッツオイル,102,0.03%,24
コーン油,27,0.01%,6
マスタードオイル,6,0.00%,2
