ジャンル名,売上指数（千円）,シェア,商品ランク入り数
筆記具,625404,27.26%,163170
手帳・ノート・紙製品,275594,12.01%,121421
画材,210050,9.16%,35680
書道用具,186370,8.12%,17360
ファイル・バインダー,153307,6.68%,44043
机上収納・整理用品,116531,5.08%,20979
その他,113529,4.95%,23799
ギフトラッピング用品,94725,4.13%,59406
プレゼンテーション用品,94663,4.13%,10583
写真整理用品,76182,3.32%,13270
ラベル・ステッカー,74118,3.23%,36996
はさみ・裁断用品,65932,2.87%,12593
セロハンテープ・のり・接着剤,43027,1.88%,17638
ブックカバー,31619,1.38%,7071
クリップ・結束用具,22087,0.96%,9810
製図用品,20418,0.89%,8380
名札,19134,0.83%,6433
ホッチキス・穴あきパンチ,15458,0.67%,5209
紙幣計数機・コインカウンタ,13221,0.58%,320
マグネットシート,13082,0.57%,1803
マグネット,8139,0.35%,4398
チェックライター・ナンバーリング,4278,0.19%,401
画鋲・ピン,3784,0.16%,1281
ブックマーク・しおり,3372,0.15%,1724
下敷き,3313,0.14%,2966
製本機,3188,0.14%,786
紙めくり・事務用スポンジ,1962,0.09%,1530
タスキ・腕章,1139,0.05%,227
レタースケール,577,0.03%,107
