ジャンル名,売上指数（千円）,シェア,商品ランク入り数
クリアケース・クリアファイル,45087,44.26%,13689
その他,16639,16.33%,5713
リングファイル,12692,12.46%,4654
バインダー,10268,10.08%,3577
ドキュメントファイル,7895,7.75%,1321
名刺ファイル,2687,2.64%,831
フラットファイル,2215,2.17%,1014
個別フォルダー,2041,2.00%,585
インデックス,1129,1.11%,695
スクラップブック,1112,1.09%,475
ハンギングフォルダー,111,0.11%,37
