ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,15561,31.57%,1696
ナマコ,6021,12.21%,311
カレイ,3243,6.58%,561
エイ,2722,5.52%,444
クエ,1806,3.66%,126
サワラ,1722,3.49%,165
サメ,1675,3.40%,205
カンパチ,1668,3.38%,133
カワハギ,1587,3.22%,375
ヒラメ,1471,2.98%,202
ノドグロ,1458,2.96%,211
アユ,1405,2.85%,349
ニシン,1344,2.73%,454
アンコウ,1083,2.20%,190
トビウオ,941,1.91%,214
アカメ・メヒカリ,939,1.91%,154
クラゲ,721,1.46%,206
マス,692,1.40%,125
ハタハタ,556,1.13%,127
カジキ,536,1.09%,91
キス,409,0.83%,134
スズキ,363,0.74%,19
コイ,310,0.63%,95
ハモ,299,0.61%,56
イワナ,291,0.59%,30
タチウオ,175,0.36%,63
サヨリ,105,0.21%,30
メバル,70,0.14%,28
カマス,45,0.09%,25
カサゴ,25,0.05%,10
イサキ,24,0.05%,13
コチ,10,0.02%,6
アイナメ,9,0.02%,4
アラ,3,0.01%,2
ヤマメ,3,0.01%,2
オコゼ,2,0.00%,1
