ジャンル名,売上指数（千円）,シェア,商品ランク入り数
カニ,6253239,59.53%,28586
魚卵,896307,8.53%,31635
貝類,555336,5.29%,27737
セット・詰め合わせ,509873,4.85%,19304
加工品,445158,4.24%,36768
フグ,347285,3.31%,7427
エビ,333650,3.18%,15720
マグロ,272496,2.59%,10249
サケ,172417,1.64%,14084
イカ,145149,1.38%,13739
ウニ,126818,1.21%,4269
その他水産物,110909,1.06%,13789
ブリ,78840,0.75%,2444
海藻類,54710,0.52%,10985
サバ,42579,0.41%,4563
その他,41052,0.39%,3141
タイ,32772,0.31%,3643
カツオ,21570,0.21%,2369
タコ,19233,0.18%,3741
イワシ,10223,0.10%,2879
ホッケ,9525,0.09%,1506
タラ,7975,0.08%,1628
アジ,5735,0.05%,1504
サンマ,4405,0.04%,592
生ちりめん・生しらす,4151,0.04%,765
シシャモ,3214,0.03%,528
