ジャンル名,売上指数（千円）,シェア,商品ランク入り数
だし,295646,19.15%,27675
油,222916,14.44%,22742
砂糖・甘味料,130137,8.43%,14790
しお,109777,7.11%,18004
しょうゆ,89603,5.80%,21080
スパイス,89463,5.79%,25408
ソース・たれ,71501,4.63%,20442
みそ,69222,4.48%,16590
酢,56435,3.66%,8606
ふりかけ,49285,3.19%,13137
セット・詰め合わせ,43648,2.83%,3185
その他,41589,2.69%,8437
麹,37785,2.45%,4297
料理の素,34996,2.27%,10539
ドレッシング,25448,1.65%,8587
みりん,24875,1.61%,2887
めんつゆ,22053,1.43%,5613
ミックススパイス・混合調味料,18713,1.21%,5850
ポン酢,18419,1.19%,4529
中華調味料,17605,1.14%,5306
酒粕,11446,0.74%,1859
マヨネーズ,10054,0.65%,2505
アジアン・エスニック調味料,9425,0.61%,2359
韓国調味料,8570,0.56%,3123
料理酒,7386,0.48%,1048
ハーブ,7276,0.47%,3342
ケチャップ,5929,0.38%,1777
わさび,4303,0.28%,1499
ラーメンスープ,4075,0.26%,1352
からし・マスタード,2625,0.17%,1480
ラード,2377,0.15%,263
生わさび,1415,0.09%,331
