ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,194919,29.33%,14575
ウコン,65859,9.91%,5166
マカ,56442,8.49%,4825
サラシア,43354,6.52%,1830
キノコ・マッシュルーム,42356,6.37%,2139
スピルリナ,37067,5.58%,1407
ブルーベリー,34829,5.24%,3761
イチョウ葉,23374,3.52%,2171
高麗人参,22736,3.42%,1271
ノコギリヤシ,22224,3.34%,1778
クロレラ,17736,2.67%,1123
田七人参,14429,2.17%,804
フコイダン,14093,2.12%,376
梅肉,12630,1.90%,1372
トンカットアリ,11168,1.68%,780
フォルスコリ,7682,1.16%,713
ニンニク,7307,1.10%,843
チアシード,5774,0.87%,587
アサイー,5674,0.85%,515
じゃばら,4802,0.72%,567
プエラリア,4318,0.65%,515
カプサイシン,2629,0.40%,336
セントジョーンズワート,2611,0.39%,595
マキベリー,2200,0.33%,236
エキナセア,1864,0.28%,381
ビーポーレン,1808,0.27%,194
ゴジベリー,1575,0.24%,169
ガラナ,1229,0.18%,95
黒豆,1107,0.17%,56
メシマコブ茸,439,0.07%,15
カムカム,279,0.04%,42
カカオ,119,0.02%,34
バジルシード,33,0.00%,10
