ジャンル名,売上指数（千円）,シェア,商品ランク入り数
コーヒー,2173895,28.99%,112920
お茶・紅茶,2011711,26.83%,176396
水・炭酸水,1169071,15.59%,30308
野菜・果実飲料,713525,9.52%,30322
炭酸飲料,679212,9.06%,28660
乳酸菌飲料,115406,1.54%,10623
植物性ミルク,114488,1.53%,13526
スポーツドリンク,111590,1.49%,9957
お酢飲料,87088,1.16%,8271
甘酒,82430,1.10%,8861
その他,55357,0.74%,5988
希釈用ドリンク,53705,0.72%,5338
ココア・チョコレートドリンク,40563,0.54%,5622
ゼリー飲料,27663,0.37%,3814
スムージー,25222,0.34%,1499
牛乳,17303,0.23%,2477
生姜湯,10032,0.13%,1706
フルーツ入り乳飲料,5359,0.07%,645
柚子茶,4166,0.06%,500
