ジャンル名,売上指数（千円）,シェア,商品ランク入り数
カニ,519443,22.54%,11075
貝類,263136,11.42%,13481
サバ,251056,10.89%,3837
加工品,164406,7.13%,20196
サケ,159810,6.93%,8025
魚卵,158684,6.89%,11454
エビ,140731,6.11%,6087
セット・詰め合わせ,119009,5.16%,8245
イカ,97005,4.21%,9325
マグロ,89283,3.87%,4364
海藻類,63412,2.75%,9782
フグ,59670,2.59%,2892
その他水産物,50318,2.18%,6575
ウニ,27387,1.19%,1691
ブリ,23125,1.00%,1008
ホッケ,18367,0.80%,932
タイ,15873,0.69%,1753
アジ,15677,0.68%,1224
イワシ,13498,0.59%,2511
カツオ,12861,0.56%,1596
タコ,9892,0.43%,1483
その他,9599,0.42%,1517
タラ,9518,0.41%,1148
シシャモ,6453,0.28%,391
サンマ,4160,0.18%,489
生ちりめん・生しらす,2165,0.09%,413
