ジャンル名,売上指数（千円）,シェア,商品ランク入り数
ゴーダ,16387,45.10%,498
その他,9050,24.91%,1140
チェダー,4430,12.19%,437
ラクレット,4220,11.61%,295
エメンタール,1187,3.27%,165
ミモレット,661,1.82%,174
エダム,400,1.10%,165
