ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,51846,84.17%,2166
岩盤浴マット,9603,15.59%,513
岩盤浴ボール,135,0.22%,102
岩盤浴クッション,14,0.02%,95
