ジャンル名,売上指数（千円）,シェア,商品ランク入り数
山芋・自然薯,9811,21.94%,918
その他,9651,21.59%,2006
たけのこ,7595,16.99%,738
菊芋,4883,10.92%,634
ブロッコリー,3783,8.46%,683
れんこん,1754,3.92%,559
行者にんにく,1579,3.53%,163
カリフラワー,1264,2.83%,178
明日葉,920,2.06%,130
ゴーヤー,678,1.52%,147
オクラ,545,1.22%,199
小松菜,493,1.10%,263
ピーマン,471,1.05%,229
セロリ,296,0.66%,107
大葉・しそ,214,0.48%,111
銀杏,183,0.41%,53
エシャロット,159,0.36%,36
パクチー・コリアンダー,116,0.26%,42
パセリ,99,0.22%,63
かぶ,77,0.17%,49
春菊,60,0.13%,51
水菜,35,0.08%,34
ヤーコン,24,0.05%,7
ルッコラ,19,0.04%,14
