ジャンル名,売上指数（千円）,シェア,商品ランク入り数
プロテイン,1535987,22.19%,36516
その他,1123252,16.23%,30000
植物性エキス,689476,9.96%,47244
ビタミン,654593,9.46%,38968
ファイトケミカル,559423,8.08%,14548
アミノ酸,477178,6.89%,22609
ミネラル,338140,4.88%,25754
プロバイオティクス,258457,3.73%,11863
コラーゲン,214370,3.10%,11786
脂肪酸・オイル,191607,2.77%,10447
酵素,169413,2.45%,10649
食物繊維,139274,2.01%,7855
ビタミン・ミネラル混合,95353,1.38%,2946
グルコサミン・コンドロイチン,87925,1.27%,4277
プラセンタ,72132,1.04%,3773
動物性エキス,71258,1.03%,4446
ラクトフェリン,44246,0.64%,1109
ローヤルゼリー,41603,0.60%,1325
クエン酸,33882,0.49%,3243
プロポリス,29158,0.42%,2452
ヒアルロン酸,24513,0.35%,1538
オリゴ糖,23732,0.34%,2417
動植物性混合エキス,22194,0.32%,1282
ミドリムシ,19510,0.28%,791
核酸,5404,0.08%,364
