ジャンル名,売上指数（千円）,シェア,商品ランク入り数
筆記具,1160536,38.50%,204858
手帳・ノート・紙製品,420125,13.94%,149038
ファイル・バインダー,163135,5.41%,45769
ギフトラッピング用品,157653,5.23%,77751
画材,146622,4.86%,35872
その他,139338,4.62%,23167
机上収納・整理用品,124452,4.13%,23401
ラベル・ステッカー,117541,3.90%,41246
写真整理用品,88273,2.93%,14055
プレゼンテーション用品,87676,2.91%,10972
書道用具,84988,2.82%,13957
はさみ・裁断用品,75264,2.50%,16279
セロハンテープ・のり・接着剤,51622,1.71%,20771
ブックカバー,37952,1.26%,8206
クリップ・結束用具,25871,0.86%,11508
製図用品,23053,0.76%,8940
名札,18947,0.63%,6108
ホッチキス・穴あきパンチ,16762,0.56%,6079
マグネットシート,14336,0.48%,1862
紙幣計数機・コインカウンタ,11093,0.37%,478
下敷き,9864,0.33%,4695
マグネット,9638,0.32%,4659
ブックマーク・しおり,7645,0.25%,2969
画鋲・ピン,7126,0.24%,1540
チェックライター・ナンバーリング,6169,0.20%,723
製本機,3585,0.12%,1021
紙めくり・事務用スポンジ,3133,0.10%,1735
タスキ・腕章,1259,0.04%,258
レタースケール,645,0.02%,120
事務用品(1703削除),1,0.00%,0
