ジャンル名,売上指数（千円）,シェア,商品ランク入り数
オリーブオイル,86286,32.23%,7366
こめ油,42770,15.97%,2940
ココナッツオイル,28184,10.53%,2394
ごま油,25856,9.66%,3053
亜麻仁油,18155,6.78%,1375
その他,16169,6.04%,2415
なたね油・キャノーラ油,15567,5.81%,1522
サラダ油,9482,3.54%,479
えごま油,8602,3.21%,1034
セット・詰め合わせ,5435,2.03%,695
グレープシードオイル,4428,1.65%,215
大豆油,2271,0.85%,176
トリュフオイル,1033,0.39%,150
ひまわり油,760,0.28%,115
べに花油,700,0.26%,83
椿油,684,0.26%,85
アボカドオイル,560,0.21%,94
コーン油,406,0.15%,19
玄米油,286,0.11%,67
ピーナッツオイル,106,0.04%,24
マスタードオイル,7,0.00%,3
