ジャンル名,売上指数（千円）,シェア,商品ランク入り数
スポンジ・たわし・ブラシ,209492,33.20%,31751
その他,123243,19.53%,15674
モップ,45169,7.16%,5703
フロアワイパー・ダスター本体,33616,5.33%,4096
雑巾・テーブルダスター,28992,4.59%,4906
フローリングワックス,28565,4.53%,2219
ガラス・サッシ掃除用具,25744,4.08%,4006
ほうき,25505,4.04%,4045
はたき,21617,3.43%,1316
粘着式クリーナー,20127,3.19%,3769
フロアワイパー・ダスター取替シート,18185,2.88%,3059
バケツ,15022,2.38%,2280
使い捨てクロス,13862,2.20%,2320
トイレポット,11186,1.77%,1013
スプレーボトル,4586,0.73%,1100
ちりとり,3248,0.51%,746
ラバーカップ,2230,0.35%,348
モップ絞り器,701,0.11%,102
