ジャンル名,売上指数（千円）,シェア,商品ランク入り数
セミハード,21795,24.71%,1766
フレッシュ,14815,16.79%,2030
その他,14010,15.88%,2181
セット・詰め合わせ,13805,15.65%,1094
ハード,9240,10.47%,1175
プロセス,5489,6.22%,706
白カビ,3478,3.94%,616
青カビ・ブルー,2606,2.95%,463
スモークチーズ,1626,1.84%,235
ウォッシュ,770,0.87%,169
チーズフォンデュ,303,0.34%,67
シェーブル,278,0.31%,79
