ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,142905,25.10%,13252
ウコン,47666,8.37%,4666
マカ,44083,7.74%,4313
キノコ・マッシュルーム,41088,7.22%,2006
サラシア,37975,6.67%,1744
フコイダン,32539,5.72%,693
ブルーベリー,27521,4.83%,3157
高麗人参,24812,4.36%,1304
スピルリナ,24625,4.33%,1081
イチョウ葉,21280,3.74%,2038
ノコギリヤシ,16683,2.93%,1547
クロレラ,16466,2.89%,1098
梅肉,13702,2.41%,1256
トンカットアリ,12787,2.25%,731
田七人参,11777,2.07%,773
チアシード,9529,1.67%,787
ニンニク,8323,1.46%,866
フォルスコリ,7089,1.25%,468
アサイー,6058,1.06%,557
じゃばら,4076,0.72%,461
マキベリー,3270,0.57%,334
プエラリア,3189,0.56%,400
セントジョーンズワート,2784,0.49%,553
カプサイシン,2017,0.35%,275
ゴジベリー,1528,0.27%,115
ビーポーレン,1406,0.25%,191
エキナセア,1343,0.24%,282
黒豆,799,0.14%,66
ガラナ,736,0.13%,84
メシマコブ茸,591,0.10%,25
カカオ,302,0.05%,55
カムカム,216,0.04%,47
バジルシード,70,0.01%,23
