ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,170627,29.19%,13420
サラシア,57632,9.86%,1726
マカ,57519,9.84%,4694
キノコ・マッシュルーム,40950,7.01%,2311
スピルリナ,37224,6.37%,1357
ウコン,32914,5.63%,4592
ブルーベリー,32698,5.59%,3712
高麗人参,19616,3.36%,824
ノコギリヤシ,19160,3.28%,1766
イチョウ葉,16088,2.75%,1814
クロレラ,15689,2.68%,1252
田七人参,15257,2.61%,900
フォルスコリ,14825,2.54%,860
梅肉,9631,1.65%,1294
フコイダン,9248,1.58%,268
チアシード,4687,0.80%,910
プエラリア,4344,0.74%,590
トンカットアリ,3750,0.64%,514
アサイー,3189,0.55%,407
セントジョーンズワート,2814,0.48%,600
ニンニク,2779,0.48%,381
カプサイシン,1966,0.34%,343
ゴジベリー,1910,0.33%,196
ビーポーレン,1837,0.31%,219
マキベリー,1726,0.30%,256
黒豆,1601,0.27%,137
エキナセア,1481,0.25%,409
じゃばら,1203,0.21%,244
カカオ,784,0.13%,94
ガラナ,755,0.13%,108
メシマコブ茸,304,0.05%,100
バジルシード,167,0.03%,120
カムカム,69,0.01%,146
