ジャンル名,売上指数（千円）,シェア,商品ランク入り数
仏壇,93013,44.43%,1934
その他,22175,10.59%,3413
位牌,20469,9.78%,1251
具足・仏具セット,13301,6.35%,1003
りん,13264,6.34%,1284
骨壷,11092,5.30%,1175
仏像,7371,3.52%,419
掛軸,4168,1.99%,584
香炉,3481,1.66%,630
経机,2905,1.39%,284
仏花,2611,1.25%,474
線香立,2368,1.13%,728
盆提灯,2180,1.04%,251
花立,1851,0.88%,348
香炉灰・香炉石,1397,0.67%,514
具足,1291,0.62%,192
香道具,1235,0.59%,291
仏具用お手入れ用品,1182,0.56%,313
経本,1061,0.51%,370
骨袋,1046,0.50%,250
木魚,836,0.40%,61
香立て,480,0.23%,148
線香着火器,476,0.23%,186
水晶玉,76,0.04%,20
