ジャンル名,売上指数（千円）,シェア,商品ランク入り数
山芋・自然薯,17169,33.73%,1628
その他,12978,25.49%,2690
れんこん,4558,8.95%,861
菊芋,4061,7.98%,518
ブロッコリー,3208,6.30%,619
たけのこ,1759,3.46%,322
銀杏,868,1.70%,163
ゴーヤー,806,1.58%,166
かぶ,805,1.58%,215
カリフラワー,792,1.56%,169
明日葉,686,1.35%,86
小松菜,622,1.22%,288
オクラ,502,0.99%,168
ピーマン,473,0.93%,222
セロリ,338,0.66%,106
ヤーコン,283,0.56%,46
大葉・しそ,267,0.52%,121
エシャロット,188,0.37%,59
行者にんにく,157,0.31%,48
春菊,133,0.26%,73
パセリ,128,0.25%,77
パクチー・コリアンダー,58,0.11%,29
水菜,42,0.08%,36
ルッコラ,27,0.05%,18
