ジャンル名,売上指数（千円）,シェア,商品ランク入り数
みかん,489445,46.97%,23426
りんご,129429,12.42%,5602
いちご,75113,7.21%,5658
セット・詰め合わせ,61933,5.94%,3394
さくらんぼ,37897,3.64%,1892
その他,25691,2.47%,3279
ブルーベリー,23028,2.21%,1159
マンゴー,22526,2.16%,1597
オレンジ,21310,2.04%,1959
柿,20563,1.97%,1203
レモン,18971,1.82%,2576
メロン,18908,1.81%,1430
梅,11502,1.10%,1063
グレープフルーツ,10195,0.98%,985
パイナップル,8580,0.82%,851
栗,8003,0.77%,676
キウイフルーツ,7811,0.75%,732
スイカ,6698,0.64%,662
ブドウ,5466,0.52%,559
ザクロ,5015,0.48%,415
桃,4944,0.47%,626
じゃばら,4895,0.47%,379
ライチ,4036,0.39%,337
バナナ,3982,0.38%,582
アボカド,2149,0.21%,372
びわ,2128,0.20%,266
すだち,1796,0.17%,174
あんず,1552,0.15%,261
ゆず,1407,0.14%,213
和梨,1141,0.11%,122
ドラゴンフルーツ,1031,0.10%,130
パッションフルーツ,999,0.10%,134
パパイヤ,990,0.10%,162
ドリアン,688,0.07%,60
プラム,658,0.06%,88
イチジク,544,0.05%,133
マンゴスチン,395,0.04%,40
かぼす,356,0.03%,42
洋梨,192,0.02%,18
ミラクルフルーツ,120,0.01%,18
