ジャンル名,売上指数（千円）,シェア,商品ランク入り数
ビタミンC,160918,29.80%,7916
ビタミンB9・葉酸,103227,19.11%,4058
マルチビタミン,102640,19.01%,7065
ビタミンD,36563,6.77%,3803
ビタミンB群,31254,5.79%,3346
その他,23829,4.41%,2015
ビタミンE,15213,2.82%,1691
ビタミンB7・ビオチン,13264,2.46%,1524
ビタミンB3・ナイアシン,12899,2.39%,1178
ビタミンB2,11808,2.19%,372
ビタミンA,7721,1.43%,914
ビタミンB6,7439,1.38%,409
ビタミンB1,4851,0.90%,413
ビタミンB12,3093,0.57%,546
ビタミンK,2107,0.39%,339
ビタミンB5・パントテン酸,2077,0.38%,245
ビタミンP,709,0.13%,129
ビタミンB8,429,0.08%,24
