ジャンル名,売上指数（千円）,シェア,商品ランク入り数
貝類,376512,16.32%,14969
カニ,318343,13.80%,7852
サバ,308386,13.37%,3921
加工品,222857,9.66%,21738
魚卵,183268,7.94%,11632
セット・詰め合わせ,134572,5.83%,8976
サケ,126894,5.50%,8789
エビ,119712,5.19%,6768
マグロ,109359,4.74%,5063
イカ,98669,4.28%,10204
海藻類,63617,2.76%,10048
その他水産物,49721,2.16%,6791
ウニ,39956,1.73%,2121
カツオ,22915,0.99%,1998
ホッケ,19739,0.86%,840
サンマ,18113,0.79%,969
タイ,16542,0.72%,1886
フグ,14217,0.62%,1360
ブリ,11287,0.49%,549
アジ,11069,0.48%,1338
その他,9949,0.43%,1540
イワシ,9652,0.42%,2500
タコ,8276,0.36%,1533
タラ,6578,0.29%,946
生ちりめん・生しらす,4140,0.18%,549
シシャモ,2493,0.11%,376
