ジャンル名,売上指数（千円）,シェア,商品ランク入り数
お茶・紅茶,1964607,23.40%,162514
コーヒー,1898469,22.62%,97680
水・炭酸水,1443522,17.20%,30000
野菜・果実飲料,1314329,15.66%,30000
炭酸飲料,905793,10.79%,29540
スポーツドリンク,227050,2.70%,14928
植物性ミルク,127134,1.51%,14449
お酢飲料,108892,1.30%,9845
乳酸菌飲料,91755,1.09%,9798
希釈用ドリンク,65635,0.78%,5767
甘酒,65088,0.78%,7056
その他,55862,0.67%,5613
ゼリー飲料,46321,0.55%,5058
スムージー,30408,0.36%,1800
牛乳,19340,0.23%,2499
ココア・チョコレートドリンク,17272,0.21%,3188
フルーツ入り乳飲料,4846,0.06%,620
生姜湯,4368,0.05%,601
柚子茶,3299,0.04%,269
