ジャンル名,売上指数（千円）,シェア,商品ランク入り数
シャワーヘッド,376686,22.99%,9455
入浴剤,333419,20.35%,27474
風呂ふた,115716,7.06%,5546
バスマット,112816,6.88%,9729
ソープボトル・シャンプーボトル,109021,6.65%,8133
整理棚・ラック,102206,6.24%,9224
その他,91636,5.59%,10034
椅子,83554,5.10%,5731
タオルハンガー,59327,3.62%,6144
自動ソープディスペンサー,55123,3.36%,2321
ボディタオル,32963,2.01%,6758
サウナハット,26010,1.59%,2167
浴槽・浴室内マット,25813,1.58%,2191
バス保温器,19943,1.22%,413
石けんケース・石けん台,17653,1.08%,3338
ボディブラシ,17426,1.06%,1633
洗面器・風呂桶,15742,0.96%,2578
ボディスポンジ,12725,0.78%,2044
セット,9456,0.58%,849
シャワーヘッドホルダー・シャワーフック,9086,0.55%,1441
シャワーカーテン,6251,0.38%,1153
バスピロー,2376,0.15%,420
泡立てネット,1866,0.11%,542
バスブーツ,1099,0.07%,231
軽石,827,0.05%,252
