ジャンル名,売上指数（千円）,シェア,商品ランク入り数
洗剤・柔軟剤・クリーナー,3792607,68.55%,192507
ティッシュ・トイレットペーパー,869765,15.72%,53897
キッチン消耗品,217997,3.94%,31791
消臭剤・芳香剤,210534,3.81%,27075
袋,186009,3.36%,33745
虫除け・殺虫剤,123242,2.23%,16774
除湿剤・乾燥剤,120046,2.17%,5833
衣類用消臭剤・芳香剤,10355,0.19%,1883
衣類用防虫剤,2376,0.04%,400
