ジャンル名,売上指数（千円）,シェア,商品ランク入り数
だし,280667,16.36%,27752
油,267747,15.61%,24304
砂糖・甘味料,123429,7.20%,15926
しお,116347,6.78%,19077
スパイス,102800,5.99%,26031
しょうゆ,97021,5.66%,21799
酢,85188,4.97%,10788
ソース・たれ,84372,4.92%,23610
みそ,65854,3.84%,16596
ふりかけ,65579,3.82%,15233
セット・詰め合わせ,61685,3.60%,3472
その他,48915,2.85%,8869
麹,40492,2.36%,4505
ドレッシング,36417,2.12%,10494
料理の素,33389,1.95%,10539
めんつゆ,32426,1.89%,8048
みりん,28176,1.64%,3082
中華調味料,23281,1.36%,6127
ミックススパイス・混合調味料,19835,1.16%,6036
ポン酢,19611,1.14%,4799
マヨネーズ,11717,0.68%,2908
アジアン・エスニック調味料,10965,0.64%,2719
ハーブ,9123,0.53%,3524
ケチャップ,7972,0.46%,2341
酒粕,7699,0.45%,1397
料理酒,7338,0.43%,1112
韓国調味料,7093,0.41%,2866
ラーメンスープ,5522,0.32%,1815
わさび,4424,0.26%,1617
からし・マスタード,4161,0.24%,1730
ラード,3366,0.20%,307
生わさび,2538,0.15%,411
