ジャンル名,売上指数（千円）,シェア,商品ランク入り数
お茶・紅茶,1946437,25.92%,173820
コーヒー,1845882,24.58%,107800
水・炭酸水,1356850,18.07%,30889
炭酸飲料,866394,11.54%,29745
野菜・果実飲料,701903,9.35%,30832
お酢飲料,137352,1.83%,10268
スポーツドリンク,126056,1.68%,11178
乳酸菌飲料,117607,1.57%,9193
植物性ミルク,108106,1.44%,12079
その他,103229,1.37%,9841
甘酒,69261,0.92%,7604
希釈用ドリンク,38101,0.51%,4460
ゼリー飲料,29438,0.39%,3654
牛乳,21003,0.28%,2824
ココア・チョコレートドリンク,16359,0.22%,3430
スムージー,14088,0.19%,1186
フルーツ入り乳飲料,4675,0.06%,758
生姜湯,4334,0.06%,713
柚子茶,3012,0.04%,249
