ジャンル名,売上指数（千円）,シェア,商品ランク入り数
ワッペン・アップリケ,55172,20.98%,28591
リボン,26712,10.16%,21471
ひも,21988,8.36%,14187
手芸用テープ,21399,8.14%,14232
その他,18894,7.19%,9527
ファスナー,18303,6.96%,12731
ボタン,14946,5.68%,14196
ミシン糸,13340,5.07%,7668
レース,11736,4.46%,12802
接着テープ・接着芯,9209,3.50%,4126
ネームシール,7094,2.70%,2156
持ち手・ハンドル,5216,1.98%,2166
芯地,5059,1.92%,1499
口金,4918,1.87%,2638
ホック,4635,1.76%,2646
ゴム,4419,1.68%,3406
面ファスナー,3929,1.49%,1454
手縫い糸,3827,1.46%,3130
型紙・パターン,3637,1.38%,2529
ブレード,2483,0.94%,2304
バックル,2289,0.87%,2290
裏地,1128,0.43%,555
チェーン,1069,0.41%,899
スパンコール,950,0.36%,1397
マラボー,380,0.14%,95
肩パット,216,0.08%,148
