ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,119366,26.06%,12988
ウコン,39524,8.63%,4408
サラシア,32813,7.16%,1569
キノコ・マッシュルーム,32768,7.15%,2010
マカ,29972,6.54%,4006
フコイダン,23934,5.22%,670
高麗人参,21807,4.76%,1276
ブルーベリー,21243,4.64%,3058
スピルリナ,20078,4.38%,1019
イチョウ葉,17166,3.75%,1891
クロレラ,15610,3.41%,1123
ノコギリヤシ,13875,3.03%,1528
梅肉,11414,2.49%,1232
田七人参,9139,1.99%,696
トンカットアリ,8822,1.93%,699
チアシード,7684,1.68%,769
ニンニク,7029,1.53%,837
マキベリー,4676,1.02%,299
アサイー,4254,0.93%,471
フォルスコリ,3729,0.81%,448
プエラリア,2603,0.57%,365
カプサイシン,1767,0.39%,270
セントジョーンズワート,1738,0.38%,506
ビーポーレン,1204,0.26%,164
ゴジベリー,1179,0.26%,134
エキナセア,1125,0.25%,222
じゃばら,1112,0.24%,245
黒豆,841,0.18%,87
ガラナ,668,0.15%,82
メシマコブ茸,437,0.10%,19
カムカム,268,0.06%,59
カカオ,227,0.05%,67
バジルシード,41,0.01%,19
