ジャンル名,売上指数（千円）,シェア,商品ランク入り数
非常食,384713,27.21%,24040
簡易トイレ,234265,16.57%,7622
防災セット・非常用持ちだし袋,220667,15.60%,5006
火災警報器・ガス警報器,99035,7.00%,4887
その他,93905,6.64%,6254
保存水,53583,3.79%,2092
消火器,47718,3.37%,2487
携帯用浄水器,44514,3.15%,1204
家具転倒防止用品,34652,2.45%,5788
防災ラジオ,34621,2.45%,1600
懐中電灯,29105,2.06%,4732
携帯トイレ,23960,1.69%,2309
メガホン・拡声器,20363,1.44%,1030
防災ヘルメット,15013,1.06%,1157
防災頭巾,14521,1.03%,1722
簡易毛布・寝袋,13104,0.93%,1671
給水用品,9748,0.69%,1503
避難はしご,8527,0.60%,498
土嚢,7314,0.52%,444
応急手当用品,6351,0.45%,932
固形燃料,6294,0.45%,795
笛・ホイッスル,3950,0.28%,1087
発熱・加熱剤,3247,0.23%,749
ガソリン缶,1763,0.12%,271
担架,1672,0.12%,76
放射能測定器・ガイガーカウンター,1194,0.08%,41
防災用ストーブ,281,0.02%,7
