ジャンル名,売上指数（千円）,シェア,商品ランク入り数
ホエイプロテイン,883294,55.73%,14747
その他,287982,18.17%,12433
マルチプロテイン,222683,14.05%,2563
ソイプロテイン,175559,11.08%,6190
プロテオグリカン,9461,0.60%,596
カゼインプロテイン,5853,0.37%,344
