ジャンル名,売上指数（千円）,シェア,商品ランク入り数
仏壇,131816,48.72%,2602
その他,27398,10.13%,3977
位牌,20950,7.74%,1491
具足・仏具セット,17482,6.46%,1432
りん,15382,5.69%,1622
骨壷,10372,3.83%,1333
仏像,9916,3.66%,583
香炉,4975,1.84%,802
掛軸,4963,1.83%,744
仏花,4622,1.71%,809
経机,4317,1.60%,364
盆提灯,3568,1.32%,365
花立,3496,1.29%,706
線香立,2620,0.97%,979
具足,1588,0.59%,293
香道具,1222,0.45%,262
仏具用お手入れ用品,1104,0.41%,416
香炉灰・香炉石,1078,0.40%,543
経本,967,0.36%,418
骨袋,857,0.32%,332
線香着火器,576,0.21%,249
木魚,570,0.21%,125
香立て,522,0.19%,176
水晶玉,198,0.07%,173
