ジャンル名,売上指数（千円）,シェア,商品ランク入り数
豆類,74172,17.55%,14791
にんにく,65919,15.60%,6212
とうもろこし,55604,13.15%,3746
その他野菜,33498,7.93%,6868
たまねぎ,25743,6.09%,3052
サツマイモ,24390,5.77%,3116
きのこ,21498,5.09%,4031
セット・詰め合わせ,19990,4.73%,2436
生姜,15195,3.59%,1965
トマト,14117,3.34%,2388
ジャガイモ,13753,3.25%,2248
にんじん,10455,2.47%,1273
カット野菜,9700,2.29%,1520
その他,6926,1.64%,1754
アスパラガス,4258,1.01%,630
山菜,4249,1.01%,675
ねぎ,3558,0.84%,1012
かぼちゃ,3227,0.76%,709
らっきょう,3127,0.74%,396
ナス,2732,0.65%,786
ごぼう,1948,0.46%,732
ほうれん草,1658,0.39%,541
水煮野菜,1512,0.36%,359
大根,1504,0.36%,565
キャベツ,1303,0.31%,528
キュウリ,1132,0.27%,361
里芋,586,0.14%,225
レタス,506,0.12%,248
白菜,267,0.06%,141
ニラ,159,0.04%,91
