ジャンル名,売上指数（千円）,シェア,商品ランク入り数
ファスティングドリンク（短期断食）,73148,22.49%,1840
酵素配合飲料,63081,19.40%,2761
ダイエットシェイク,43967,13.52%,2135
ダイエットティー,38333,11.79%,4139
その他,36377,11.19%,1102
グリーンスムージー,30327,9.33%,1141
ダイエットコーヒー,26089,8.02%,1925
ゼリー飲料,13013,4.00%,1159
ダイエットココア,872,0.27%,96
