ジャンル名,売上指数（千円）,シェア,商品ランク入り数
仏壇,103660,45.08%,1982
その他,21728,9.45%,3440
盆提灯,19587,8.52%,1536
位牌,17845,7.76%,1298
具足・仏具セット,13813,6.01%,1119
りん,11182,4.86%,1271
骨壷,10095,4.39%,1185
仏像,7007,3.05%,439
掛軸,4017,1.75%,600
香炉,3326,1.45%,604
経机,3267,1.42%,293
仏花,2774,1.21%,589
花立,2522,1.10%,546
線香立,2072,0.90%,727
具足,1311,0.57%,245
香道具,1041,0.45%,264
経本,851,0.37%,402
香炉灰・香炉石,839,0.36%,473
骨袋,820,0.36%,297
香立て,716,0.31%,150
仏具用お手入れ用品,629,0.27%,293
木魚,498,0.22%,118
線香着火器,204,0.09%,226
水晶玉,141,0.06%,129
