ジャンル名,売上指数（千円）,シェア,商品ランク入り数
スポンジ・たわし・ブラシ,225405,31.34%,31994
その他,174082,24.20%,16077
モップ,58825,8.18%,5503
フロアワイパー・ダスター本体,35540,4.94%,4172
ほうき,33312,4.63%,4420
フローリングワックス,29652,4.12%,2332
ガラス・サッシ掃除用具,27338,3.80%,3719
雑巾・テーブルダスター,27151,3.77%,4409
フロアワイパー・ダスター取替シート,21077,2.93%,3339
粘着式クリーナー,19452,2.70%,3291
バケツ,16730,2.33%,2578
はたき,16246,2.26%,1258
使い捨てクロス,15102,2.10%,2298
トイレポット,8233,1.14%,940
スプレーボトル,5285,0.73%,1180
ちりとり,3528,0.49%,733
ラバーカップ,1558,0.22%,311
モップ絞り器,785,0.11%,111
