ジャンル名,売上指数（千円）,シェア,商品ランク入り数
スパッツ・レギンス,15805,63.69%,1733
その他,4422,17.82%,479
ストッキング,1727,6.96%,268
ショーツ,1592,6.42%,212
キャミソール,760,3.06%,256
パンツ,380,1.53%,134
ブラジャー,131,0.53%,133
