ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,9754,21.92%,1440
ナマコ,6541,14.70%,380
カンパチ,4996,11.23%,212
クエ,3161,7.11%,184
アンコウ,2366,5.32%,329
エイ,2158,4.85%,424
サメ,1892,4.25%,232
カレイ,1814,4.08%,497
ノドグロ,1359,3.05%,230
アユ,1285,2.89%,384
ニシン,1235,2.78%,429
カワハギ,1180,2.65%,347
マス,1152,2.59%,146
サワラ,1029,2.31%,157
ハタハタ,765,1.72%,213
トビウオ,740,1.66%,226
ヒラメ,733,1.65%,152
クラゲ,476,1.07%,180
アカメ・メヒカリ,338,0.76%,123
キス,282,0.63%,148
ハモ,238,0.54%,116
カジキ,227,0.51%,95
コイ,181,0.41%,128
イワナ,171,0.39%,96
タチウオ,109,0.25%,132
サヨリ,67,0.15%,117
カサゴ,64,0.14%,110
カマス,56,0.12%,176
メバル,26,0.06%,92
オコゼ,25,0.06%,93
アイナメ,24,0.05%,112
スズキ,24,0.05%,95
コチ,7,0.02%,87
アラ,6,0.01%,4
イサキ,5,0.01%,88
ヤマメ,4,0.01%,87
