ジャンル名,売上指数（千円）,シェア,商品ランク入り数
スポンジ・たわし・ブラシ,187898,27.32%,28940
その他,161039,23.41%,16414
モップ,103184,15.00%,5530
雑巾・テーブルダスター,44334,6.45%,5442
フローリングワックス,31766,4.62%,2945
ほうき,29505,4.29%,4504
ガラス・サッシ掃除用具,28156,4.09%,4291
フロアワイパー・ダスター取替シート,20081,2.92%,2942
使い捨てクロス,17349,2.52%,2204
粘着式クリーナー,16849,2.45%,3037
フロアワイパー・ダスター本体,16029,2.33%,3769
バケツ,10284,1.50%,2200
トイレポット,8198,1.19%,954
はたき,5456,0.79%,873
スプレーボトル,3865,0.56%,1116
ちりとり,2829,0.41%,894
モップ絞り器,745,0.11%,150
ラバーカップ,262,0.04%,165
