ジャンル名,売上指数（千円）,シェア,商品ランク入り数
仏壇,93814,45.72%,2022
位牌,20471,9.98%,1408
その他,19462,9.48%,3161
具足・仏具セット,13940,6.79%,1132
りん,12947,6.31%,1398
骨壷,9180,4.47%,1130
仏像,8919,4.35%,531
掛軸,4002,1.95%,596
香炉,3173,1.55%,634
経机,3072,1.50%,287
仏花,2722,1.33%,475
盆提灯,2684,1.31%,297
花立,2223,1.08%,478
線香立,1850,0.90%,724
具足,1222,0.60%,220
仏具用お手入れ用品,940,0.46%,331
経本,825,0.40%,396
骨袋,799,0.39%,304
香炉灰・香炉石,777,0.38%,465
香道具,766,0.37%,220
木魚,422,0.21%,118
香立て,367,0.18%,144
水晶玉,330,0.16%,119
線香着火器,297,0.14%,175
