ジャンル名,売上指数（千円）,シェア,商品ランク入り数
リゾット,1639,44.71%,247
その他,1378,37.59%,224
玄米雑炊,532,14.53%,157
玄米粥,92,2.51%,114
玄米リゾット,20,0.55%,89
あずき玄米粥,4,0.11%,85
鶏粥,0,0.00%,2
