ジャンル名,売上指数（千円）,シェア,商品ランク入り数
仏壇,110238,47.97%,2079
その他,23373,10.17%,3438
位牌,20412,8.88%,1327
りん,16420,7.14%,1329
具足・仏具セット,13413,5.84%,1063
骨壷,10109,4.40%,1166
仏像,7856,3.42%,444
掛軸,4171,1.81%,648
香炉,3360,1.46%,666
仏花,2808,1.22%,554
経机,2771,1.21%,262
盆提灯,2438,1.06%,266
線香立,2134,0.93%,829
花立,2096,0.91%,433
木魚,1388,0.60%,49
具足,1286,0.56%,187
仏具用お手入れ用品,1031,0.45%,350
骨袋,1012,0.44%,318
香炉灰・香炉石,1011,0.44%,529
香道具,941,0.41%,262
経本,751,0.33%,419
香立て,418,0.18%,145
線香着火器,225,0.10%,150
水晶玉,168,0.07%,60
