ジャンル名,売上指数（千円）,シェア,商品ランク入り数
マグネットフック,9944,29.68%,2696
その他,8737,26.08%,3805
釘フック・ネジフック,5650,16.86%,1459
ドアハンガーフック,5391,16.09%,1358
粘着フック,1845,5.51%,1374
S字フック,1695,5.06%,1151
吸盤フック,241,0.72%,233
