ジャンル名,売上指数（千円）,シェア,商品ランク入り数
しいたけ,9993,26.39%,1218
その他,8635,22.80%,1618
トリュフ,7973,21.05%,622
まいたけ,3714,9.81%,578
まつたけ,3002,7.93%,210
ポルチーニ,1845,4.87%,364
えのき,1545,4.08%,461
なめこ,654,1.73%,258
しめじ,442,1.17%,241
エリンギ,70,0.18%,141
