ジャンル名,売上指数（千円）,シェア,商品ランク入り数
仏壇,91434,41.79%,2052
その他,32414,14.81%,3654
位牌,20235,9.25%,1369
具足・仏具セット,12497,5.71%,1134
りん,11786,5.39%,1330
骨壷,10463,4.78%,1195
仏像,7436,3.40%,415
盆提灯,6464,2.95%,672
掛軸,5099,2.33%,707
香炉,3357,1.53%,655
経机,3042,1.39%,297
仏花,2573,1.18%,517
花立,2349,1.07%,485
線香立,2237,1.02%,834
具足,1594,0.73%,238
香炉灰・香炉石,979,0.45%,491
香道具,915,0.42%,240
経本,872,0.40%,454
骨袋,817,0.37%,298
仏具用お手入れ用品,771,0.35%,324
木魚,682,0.31%,65
香立て,325,0.15%,130
線香着火器,277,0.13%,171
水晶玉,199,0.09%,47
